POS,class
"NN TO VB CD VBZ VBG , '' IN . JJ CC NNS VBP VBN : NNP JJS DT POS ( MD ) SYM RBR VBD PRP JJR WP PRP$ WRB RB EX PDT RP $",ctrl
"DT JJ NN IN PRP VBP NNS VBZ VBN JJS CD : VB VBD . TO VBG CC , WDT RB `` JJR POS RP PRP$ ( ) WP MD '' EX WRB NNP # RBR",ctrl
"WRB DT NN IN MD VB RB JJ NNS VBZ , CC PRP VBN TO WP VBP VBG WDT . VBD EX : UH JJS NNP ( ) PDT '' CD RBR PRP$ $ POS RP JJR RBS",ctrl
"NN IN DT JJ NNS WDT VBZ VBN VBD CC TO VB CD : RB . , WP WRB PRP VBG MD PRP$ VBP WP$ RBR RP FW EX ( ) POS JJS RBS",ctrl
"WP DT PRP MD VB IN NN POS VBZ JJ . : NNP NNS VBN RB WRB VBP CC TO WDT , RBR VBG JJR EX VBD CD ( ) `` '' PRP$ PDT",ctrl
"DT NN WP VBD PRP IN NNS CD VBZ VBN . CC JJ WDT RB TO MD VB : VBG , UH PRP$ VBP WRB ( ) RP EX # NNP $ RBS JJR NNPS JJS POS",ctrl
"JJ NN : WP PRP MD VB IN NNS ( ) DT VBZ VBN TO JJR CC PRP$ `` , VBP . '' RB VBG WDT WRB POS CD SYM NNP EX VBD RP UH JJS",ctrl
"JJS NNS IN NN : VBZ DT JJ VBN TO VB PRP$ . CC RB VBP PRP MD WRB VBG , RP VBD ( ) WP NNP POS WDT $ CD JJR RBR `` '' #",ctrl
"JJS NNS IN NN : CC DT JJ VBZ VBN TO VB RP POS . PRP MD VBP VBG PRP$ ( `` '' ) RB , EX WP WDT JJR WRB CD VBD FW SYM NNP",ctrl
"JJS NNS IN NN : VBZ DT JJ VBD PRP MD VB PRP$ CD TO POS CC VBG . VBP , NNP `` RB ( FW ) VBN WP JJR WDT WRB RP $",ctrl
"JJ NN CD : VBZ DT NNS MD VB IN PRP$ WDT VBN TO CC . RBR `` RP WRB PRP VBG RB NNP VBP WP '' # VBD , POS SYM ( JJR )",ctrl
"DT NNS WDT VBD NN IN JJ VBN CD VBZ RB VBG TO VB , WP . PRP VBP MD CC : WP$ EX PRP$ WRB RP JJR RBR JJS POS",ctrl
"JJ NN VBG TO . DT VBZ RB IN NNS PRP$ POS CC : CD '' WDT PRP VBD VBN , WP MD VB VBP WRB JJR EX `` NNP RP RBR JJS",ctrl
"JJ NNS CC VB NN IN . : VBZ DT TO PRP$ VBN '' PRP RB VBD JJR , POS VBG RP VBP CD EX WRB MD RBR ( ) WP WP$ NNP JJS RBS WDT",ctrl
"POS '' NNS VBP NN RB TO IN DT JJ WDT VBZ VBN PRP VBD . , MD CD CC VB WP VBG PRP$ RP : EX JJR WP$ JJS WRB NNP RBR",ctrl
"NN VBZ RB NNS VBP IN : ( ) DT JJ VBN CC PRP$ CD . POS `` , TO VB WP WP$ VBG EX PRP VBD JJR RP JJS MD WDT WRB FW RBR",ctrl
"'' DT JJ NN VBN IN VBG : VBD RB PRP$ MD CD TO VB , PRP VBZ NNS . CC EX VBP NNP WP WP$ POS WRB JJR WDT RP JJS RBR",ctrl
"NN '' JJ CC NNS IN DT VBD PRP$ , RB CD PRP VBN TO VB POS VBP `` . VBG WDT EX WRB RP JJR RBR MD : VBZ NNP WP ( ) UH",ctrl
"JJ NN VBZ RB VB IN '' DT NNS JJS CD , CC PRP TO PRP$ VBG WP VBN . WDT VBP ( VBD ) JJR : RP POS UH WRB MD FW WP$ RBS EX RBR NNP",ctrl
"JJ NNS TO VB DT CD IN NN CC . VBZ , WP VBN PRP$ VBG RB PRP MD VBP VBD WRB JJS : JJR ( ) POS '' RP FW UH WDT EX NNP",ctrl
"NNS JJ NN IN VBG PRP$ '' MD VB TO DT . CC CD , JJR VBD VBN WDT VBZ JJS RB PRP VBP NNP ( : ) WP RBR EX `` WRB POS RP RBS $ FW",ctrl
"NN '' NNS CD IN VBP DT JJ `` POS MD VB VBG PRP$ , VBD VBN CC . PRP VBZ RB WRB NNP WP RBR TO WDT ( ) EX JJR RP : RBS JJS # FW",ctrl
"JJ NN NNS IN PRP VBZ VBN '' . CC DT CD VBP NNP WDT VBD TO VB , RP JJR MD VBG RB PRP$ POS `` WP : WRB # JJS EX FW",ctrl
"JJ NNS CC NN : WP PRP VBP DT VBZ IN VBN TO VB VBD RB . JJR NNP ( ) , VBG CD $ WRB PRP$ `` JJS '' RP FW UH WP$ WDT # MD",ctrl
"VB JJ NNS NN TO POS DT CC VBZ VBN IN PRP$ . , PRP VBD `` '' WP RB WRB RP VBP VBG MD : CD WP$ JJS ( ) JJR # NNP EX RBR",ctrl
"NN VBD JJ VBZ CC `` '' VBN NNS IN DT , VBG CD TO PRP$ . JJR PRP MD VB RB POS EX VBP WRB : WP RP NNP ( ) FW WDT",ctrl
"JJ NNS CC VBP NN POS VBZ RP IN DT VBD PRP `` VBN '' TO VB PRP$ WDT JJS CD . ( ) : WP VBG RB , JJR WRB FW NNP MD # EX PDT RBR",ctrl
"NNS NN CC NNP IN VBP RB VB '' DT JJ VBD , MD PRP PRP$ . VBN VBG TO FW WRB POS : WP VBZ ( EX ) WDT RBS JJS PDT CD JJR RP",ctrl
"RB NN '' CC RBR NNS VBP IN DT JJ WDT VBZ VBN JJS CD VBG TO VB PRP$ PRP MD WP . POS VBD , EX : RP WRB RBS ( ) UH",ctrl
"CD NN '' VBZ DT JJ IN TO VB WDT JJR RB . VBN PRP$ CC VBD , WP NNS POS PRP : VBG RBR VBP UH MD RP ( ) WRB EX JJS NNP $",ctrl
"NN POS RB CC NNS VBP TO VB JJ DT WP VBN IN VBG PRP$ , PRP . VBD `` RP '' : CD MD JJR SYM ( ) FW NNP RBR VBZ",ctrl
"NN VBZ IN JJ VB RP '' . DT MD VBN CD CC , RBR PRP PRP$ NNP WDT VBG RB TO VBP ( ) WP VBD NNS EX JJR : PDT WRB POS FW RBS JJS ``",ctrl
"NN VBZ JJ ( ) : CC IN CD , WP VBD DT POS `` NNS '' TO PRP$ . PRP MD VBP VBN RB NNP VBG VB WRB WDT SYM RBR JJR FW",ctrl
"NN VBD JJ NNS IN PRP RB VB DT . : VBZ `` '' CC TO VBP , VBG RP PRP$ RBR NNP WP WDT WRB EX VBN PDT CD MD JJR FW",ctrl
"NN NNS TO VB IN PRP VBP DT PRP$ CC JJ . VBZ VBN , RB CD VBD POS RBS ( ) WDT JJR : WRB MD WP VBG RP EX '' `` JJS WP$ RBR",ctrl
"WP VBZ VBG IN NN , CC MD VB JJ DT . : WDT NNS VBN PRP$ JJS PRP ( RB WRB VBD ) RBR CD POS VBP TO EX JJR UH RP $ NNP #",ctrl
"NN NNS TO VB PRP PRP$ JJ RB . DT VBZ VBG WDT MD IN CC RP VBP RBR , WP : VBD `` '' JJR WRB ( UH ) # $ CD NNP VBN EX FW POS JJS",ctrl
"CD NN '' NNS DT JJ IN POS CC . VBZ MD VB RP PRP$ RB VBN VBG WDT , RBS PRP VBP ( : ) $ JJR TO VBD WRB WP$ EX WP",ctrl
"NN NNS VBP IN , '' DT WP$ VBZ PRP$ `` JJS CC PRP CD RBS JJ TO . WP RB VBN NNP VB VBG WRB POS EX MD RBR : ( ) UH JJR WDT RP VBD",ctrl
"POS VBZ NN JJ TO VB PRP CC IN DT . CD VBN ( NNS RB VBD ) MD VBG EX VBP WDT , RBS : PRP$ JJR NNP $ FW",ctrl
"RB NN '' VBZ DT JJ IN NNS TO , PRP VBP CD WP VBG PRP$ . CC UH WRB VB WDT VBN EX : RP POS MD PDT ( NNP ) # `` VBD JJS",ctrl
"DT JJS NN TO VB RP $ CD IN PRP VBP CC VBN , EX VBZ WDT MD PRP$ JJ NNS : RB JJR . WP WRB VBG NNP `` '' VBD POS # ( )",ctrl
"WRB TO VB NN DT : JJ IN ( , RB CD ) VBZ MD VBN NNS . CC PRP WP EX VBD VBP JJR PRP$ VBG RP NNP # FW `` ''",ctrl
"IN NN : DT WDT VBZ PRP TO NNS . JJ VBG PRP$ , VBN VB CC MD RBR `` RB CD VBD JJR $ # VBP NNP POS FW RP ) ( EX",ctrl
"RB NN POS IN CD ( ) : DT VBZ VBN NNS CC VBD . PRP TO VB WRB JJ MD VBP WDT , RP VBG WP UH JJR PRP$ SYM NNP `` '' $",ctrl
"VB DT NNS IN JJ NN CD CC WRB TO RB . : VBZ VBP RBR JJR ( ) , VBN PRP$ NNP MD VBG RP POS PRP VBD FW EX WP",ctrl
"IN NN POS JJ NNS VBP CD VBZ VBN TO VB DT WDT MD VBG PRP RB . `` : , '' CC EX RP VBD PRP$ WP WRB JJR RBR $ ( ) RBS UH NNP JJS FW",ctrl
"NN IN POS JJ , DT . VBD VBN WP CC VBZ CD RB VB JJS NNS PRP TO PRP$ VBP VBG WDT MD RP NNP : WRB EX RBR RBS JJR (",ctrl
"NN IN DT CC TO VB RP . : CD ( NNS ) VBZ PRP$ PRP VBD RB JJ VBG WP VBP EX WRB VBN , NNP JJR FW POS MD JJS WDT",ctrl
"NN IN DT NNS JJ CC . VBZ VBN , WDT PRP JJR RB MD VB VBD CD WRB NNP TO PRP$ WP : VBP EX RP VBG RBS JJS POS ``",ctrl
"VBZ VBG DT NN TO POS JJS NNS . RB CC IN CD , VBP VBN JJ : UH WRB PRP MD VB WP PRP$ VBD ( ) RP RBR JJR '' WDT FW EX NNP",ctrl
"CD IN NN POS JJS NNS VBZ VBN DT CC RB VBG TO VB PRP$ WRB PRP VBD . JJ NNP RP $ : PDT WP VBP , WDT MD JJR RBR FW ( ) UH EX #",ctrl
"NN POS JJ NNS RP IN VBG DT VBZ VBN , CC WDT MD VB . PRP RB TO VBP WRB PRP$ VBD `` CD ( ) : '' EX NNP JJR JJS WP FW",ctrl
"NN VBZ RB VBG PRP$ JJ IN : DT WDT MD VB PRP POS . , CD VBN CC NNS VBD EX VBP TO JJR WP UH RP WRB JJS ( $ ) PDT NNP",ctrl
"WRB NN POS JJ VBZ VBG TO VB IN DT JJS : PRP JJR NNS CC RB , . VBP VBN MD WDT CD PRP$ RP NNP ( ) VBD WP EX `` ''",ctrl
"NN VBZ DT RB JJ IN : CC . VBP VB EX WP PRP$ , VBD WP$ NNS VBN TO PRP MD UH WDT RBR WRB VBG RP JJR JJS POS RBS $ CD",ctrl
"NN : VBD CD JJ NNS IN DT . VBZ VBN PRP$ , CC PRP TO VB RBR RB VBP POS ( ) WRB VBG `` '' WP MD WDT RP JJR NNP EX JJS",ctrl
"NN NNS CD IN JJ ( ) : DT VBN CC , VBG VBZ TO WP . JJR RB POS VBD WDT VBP JJS VB EX WRB MD PRP PRP$ RBS $ RBR NNP",ctrl
"NN NNS IN JJ TO VB CC VBP , DT VBZ VBG PRP$ WDT VBN JJS CD PRP VBD . RB FW MD EX JJR `` RP '' : WRB WP NNP ) ( # POS $",ctrl
"NN VBZ IN PRP VBP DT WP VBN RB JJ POS CC NNS . MD VB VBG TO CD , VBD `` '' RBR PRP$ EX WDT : UH JJR RP JJS WRB ( ) NNP",ctrl
"POS VBD NNS IN DT NN : VBP JJS JJ RB , CD VBN CC WRB PRP TO VB RP . WDT VBG VBZ WP MD PRP$ WP$ EX '' ( ) JJR NNP `` SYM",ctrl
"JJ NN POS IN DT VBZ VBG . VBN PRP$ PRP VBD TO NNS CC CD , VBP ( : ) RB WP `` '' WDT MD VB RP RBR JJR WRB NNP EX NNPS WP$ $",ctrl
"CD JJ , IN JJS VBN NN NNS POS VBD CC TO VB WP DT . : VBP FW RB PRP$ PRP MD VBG VBZ RBR WRB WDT RP EX WP$ ( ) NNP #",ctrl
"NNS VBN IN NN CC JJ . DT VBZ WDT TO : WRB VBP PRP RB POS , VBD CD VBG ( ) PRP$ WP RP JJR VB RBR `` NNP JJS MD",ctrl
"DT IN NN POS JJ FW '' WDT VBD , PRP$ VBG CC VBN TO VB . PRP VBZ RB CD JJR NNS VBP EX WRB MD : WP JJS UH $ RP ( ) NNP SYM #",ctrl
"JJ NN : PRP$ POS IN VBZ VBG VBN DT VBD WRB PRP , UH . RB EX NNS CC TO VB VBP `` '' WDT MD CD JJS JJR ( ) NNP WP RBR RP",ctrl
"WRB NN POS VBZ DT JJ VBN TO VB PRP JJR IN NNS WP VBP RB CC CD : JJS . VBG , MD PRP$ UH WDT RP RBR `` VBD ( ) NNP FW",ctrl
"NN : DT IN JJ NNS . CC VBZ PRP MD VB TO CD WDT VBP POS VBN RB VBG , PRP$ NNP VBD JJS WP FW ( ) RBS RBR EX `` WRB RP # UH",ctrl
"DT NN MD VB JJ NNS IN . VBZ JJS VBG TO PRP VBN CD JJR , CC VBD PRP$ : RB VBP WRB EX WP FW RP WP$ RBR POS WDT SYM (",ctrl
"NN VBZ JJ NNS IN PRP$ CC DT CD WDT VBD RB . VBN , WP VBG PRP VBP NNP POS TO VB WRB MD : RBS ( ) EX `` '' JJR RP",ctrl
"NN CC IN JJ ( ) : DT VBZ VBN PRP$ RB CD NNS , POS VBD . PRP MD VB TO `` '' JJR VBG WRB VBP WP EX JJS FW RP",ctrl
"CD IN DT NN POS NNS JJS VBP JJ CC , VBG TO . VBN VBZ RB : PRP JJR RBS VBD WP PRP$ MD VB WDT WRB ( ) FW NNP RP '' EX $",ctrl
"DT NN MD VB VBG IN JJR NNS CC , WDT VBP VBN JJ . PRP RB WP FW VBD VBZ CD TO EX WRB PDT JJS PRP$ : RBR RP $",ctrl
"VB NNS MD RB VBN IN DT NN CC JJ . VBZ TO PRP VBD WRB VBG RP VBP , WDT NNP ( SYM : CD ) PRP$ EX RBR '' JJS JJR WP",ctrl
"JJ NN WP VBD IN CC NNS DT VBN , PRP TO VB . RB VBP WRB VBG VBZ JJR PRP$ EX CD : MD WP$ WDT POS '' RP NNP # (",ctrl
"MD VB NN VBD DT . CC JJ RB : PRP VBP IN NNS WDT VBN , WP VBZ CD TO VBG POS WP$ WRB PRP$ RP JJR EX # NNP RBR `` ''",ctrl
"JJ NNS CC VB NN VBN IN VBZ DT VBP CD TO . , WP VBD PRP RB VBG PRP$ POS MD : WRB JJR PDT RP RBR `` ( ) NNP '' WDT EX WP$",ctrl
"NN POS '' : JJ NNS TO VB IN CC . CD , VBZ PRP DT RB VBG VBP VBN WP JJR MD PRP$ # NNP ( ) EX VBD RP `` WRB $ FW JJS",ctrl
"DT NN VBZ JJ IN NNS , TO VB CC PRP$ ( ) : WDT MD VBN PRP RB VBP EX VBG . NNP JJS CD VBD JJR POS WP WRB RBR RP",ctrl
"JJ NN NNS TO VB IN . JJR PRP$ : PRP MD RB WRB DT VBZ , VBP JJS CD VBN CC VBG POS ( ) RP NNP `` $ WDT VBD RBR",ctrl
"DT NN VBD POS NNS IN JJS CD RBR JJ , VB VBZ VBG TO RBS . PRP RB EX VBP VBN WDT CC MD `` '' WRB ( ) : PRP$ WP UH JJR RP $ NNP FW",ctrl
"DT JJ NN VBD TO VB IN $ CD NNS , . VBN VBG RB WP PRP VBZ EX MD VBP CC JJR PRP$ RP NNP WRB `` '' RBR : POS ( ) FW #",ctrl
"IN JJR CD NNS , VBP POS JJ VBZ RB WDT VBN DT NN . VBD TO VB RP CC PRP JJS PRP$ VBG WP ( ) MD : NNP WRB RBR EX # SYM",ctrl
"NN CD IN JJ , VBD DT RB TO . PRP VBP CC NNS WP VBN MD VB : VBZ VBG EX WP$ PRP$ WRB JJR WDT JJS RBR POS RP",ctrl
"NN CD , VB RB JJ DT IN POS CC NNS VBD EX TO . PRP VBP VBZ VBN VBG PRP$ RBR MD JJR WP RP WRB PDT ( ) : RBS WDT",ctrl
"DT JJ NN IN NNS RB VBN CC VBZ . VBD CD , PRP VBG WRB WP TO VB WDT PRP$ RP RBR FW NNP POS EX VBP MD : JJS ( ) ``",ctrl
"NNS VBP IN NN CC VB DT JJ . , WDT CD VBD VBN VBG PRP$ POS PRP RB ( ) : JJR MD TO VBZ EX WP WRB RBR `` JJS NNP RP RBS '' FW",ctrl
"VBN NNS CC VBG NN : DT POS JJ ( ) IN VBZ WP VBD , VBP TO VB WRB PRP RB . EX MD JJR `` JJS CD PRP$ PDT NNP WDT FW SYM RP RBR",ctrl
"VBN JJ NN NNS VBZ RP IN . CC , NNP CD : DT WDT POS RBS VBG PRP$ ( ) VBD PRP RBR TO VB WRB RB MD EX VBP `` WP JJR JJS FW",ctrl
"DT NN VBZ RP VBG IN JJ . RB , WDT VBN TO VB NNS CC PRP VBD JJR PRP$ `` MD '' CD WRB VBP : NNP JJS ( ) WP POS $ EX RBR FW",ctrl
"DT JJ NN VBZ IN '' VBD VBN CC WRB RB PRP$ , WP VBG . PRP TO VB NNS VBP MD ( ) FW : CD `` RP NNP WDT POS JJR",ctrl
"WRB JJ VBD IN VBP DT NN VBG CD POS CC RP TO . PRP RB NNS , VBN WDT PRP$ MD VB ( ) VBZ SYM : `` JJR '' JJS WP NNP RBS # RBR EX",ctrl
"NN POS JJ NNS MD VB PRP RB IN DT PRP$ . VBZ VBN WP VBP TO WDT CC : VBG , WP$ VBD NNP CD RP FW ( ) EX JJR JJS WRB RBR $",ctrl
"DT NNS VBN TO VB IN NN VBP CC . WRB RB PRP MD PRP$ CD , VBD NNP FW WP JJ VBZ VBG : ( ) UH POS WDT JJR EX RP RBR RBS JJS",ctrl
"NN TO NNS : MD VB IN PRP$ JJ . DT VBD VBN JJR CD CC VBZ PRP RB VBP VBG , EX ( ) NNP WP WRB RBR RP JJS UH # SYM $",ctrl
"JJ NNS VBP VBG NN IN CC : ( ) DT VBZ , PRP$ . PRP VBN WP TO VB RB EX VBD CD MD WRB RBR NNP PDT FW WDT RBS POS JJR RP JJS ''",ctrl
"JJ NN : POS MD VB TO IN PRP DT RB CC VBZ VBP VBG . VBN NNS PRP$ CD VBD WP JJR WRB JJS '' , RBR EX WDT RP ( FW NNP",ctrl
"NN : CC CD NNS VBN IN RB WP VBD . JJ , VBP ( ) DT VBZ WDT PRP$ VBG PRP TO VB EX WRB RP `` JJR JJS POS MD $ RBR FW",ctrl
"NN VBZ PRP VBD VBN TO VB JJ IN POS CD , NNP RB VBP `` NNS DT CC PRP$ VBG WP . RP MD : EX '' RBR JJR WRB WDT",ctrl
"NN NNS : JJ CD IN VBN . DT VBZ CC TO VB , VBD PRP MD WDT WRB POS RB JJR VBP VBG RP JJS WP ( ) RBR NNP # PRP$ $ NNPS FW",ctrl
"NN VBZ RB IN , JJ DT WDT MD VB NNS VBN . VBD NNP POS TO CC PRP CD : WP RP PRP$ VBP WRB EX JJS JJR VBG '' UH PDT `` ( ) SYM FW",ctrl
"NNS VBP VBG RP PRP$ NN CC DT VBN IN . VBD JJS JJ , PRP RB CD WDT VBZ TO VB WP WRB $ : JJR EX POS MD '' ( ) RBR FW",ctrl
"IN DT NN POS VBZ JJ TO . VBD PRP NNS CC MD VB PRP$ JJR VBP VBN , VBG WRB CD `` ( ) : RB EX '' WP # NNP FW",ctrl
"NN POS VBZ WRB DT JJ VBG CC TO VB . VBN IN PRP$ RBR NNS RB , PRP JJR VBP : WDT WP ( ) `` '' MD RP RBS CD VBD NNP EX FW JJS",ctrl
"DT NN VBZ RB JJR IN PRP VBP JJ NNS , VBD . TO VB VBG CC RBR PRP$ MD VBN RP WP CD POS EX WRB WDT `` '' : UH JJS (",ctrl
"NNS VBP VBG DT POS CC PRP TO VB NN IN . : JJ , PRP$ JJR PDT CD ( ) VBZ RB VBN VBD WP MD SYM WRB JJS RBR EX $ RP '' NNP UH WDT",ctrl
"VB DT NN IN CC NNS . VBZ CD WDT VBN JJ , RB TO WRB VBD VBG PRP$ : PRP VBP MD POS WP JJR RBR EX UH FW ( WP$ ) JJS NNP",ctrl
"VBG IN DT JJ NN TO VB PRP , NNS VBP . WDT RP PRP$ : CC VBN RBR EX VBZ UH MD JJR RB VBD CD WP POS JJS $ ( `` ) WRB NNP FW",ctrl
"JJ NN : WRB PRP$ VBZ VBG ( ) DT NNS IN . PRP VBD VBN TO VB CC CD RP RB , JJR `` POS RBS '' MD VBP RBR WP WDT JJS NNP # FW",ctrl
"WRB DT JJ NNS , RB MD PRP CC PRP$ NN . VBP TO IN WDT VBN VBG CD EX VBZ VB : JJS VBD WP POS UH RP JJR ( ) RBR `` FW NNP",ctrl
"DT JJ NN CC VBP RB . WP VBZ IN PRP VBN , EX MD VB TO PRP$ NNS : WDT RBR WRB VBG VBD ( `` '' UH ) JJR JJS CD NNP $ POS SYM",ctrl
"JJ NN : CD NNS TO VB DT IN WDT VBD CC JJR RB , VBG RP JJS ( VBN ) . PRP PRP$ MD RBR `` VBZ EX VBP WP '' POS NNP WRB $ FW",ctrl
"WRB TO VB DT JJ NN VBZ IN PRP$ . PRP VBP RB VBN JJR NNS , MD CD EX CC RBS WP VBG : SYM `` '' POS WDT JJS UH RP VBD RBR",ctrl
"IN CD , PRP$ NN TO VB NNS VBZ RB VBN RP . VBP MD VBG PRP VBD DT WP CC JJ WRB FW JJR JJS : RBR EX NNP RBS WDT $ WP$ ( )",ctrl
"VBN RP CC VBG TO VB , NNS VBP DT JJ NN IN PRP$ . POS WDT VBZ VBD PRP MD RB WRB EX CD : '' ( ) WP UH JJR PDT RBR JJS",ctrl
"NN VBZ NNS '' TO DT WDT VBD IN CC VBN JJ VBG PRP PRP$ POS . , RP CD WP RB ( ) : WP$ WRB VBP VB NNP MD JJS EX JJR RBR FW PDT",ctrl
"PRP VBZ RB JJ NN TO VB NNS IN DT RBS . WDT , CC : VBP VBD RP VBG PRP$ JJR CD WP VBN ( WRB MD ) EX $ '' POS WP$ UH JJS",ctrl
"PRP VB PRP$ JJ NN TO NNS IN WP VBP DT VBN . VBD RB VBG , RP CC CD POS FW EX WRB : VBZ JJR $ MD RBS JJS RBR WDT",ctrl
"JJ NN VBZ NNS VBP IN ( ) : WRB PRP VBD DT , TO VB CC . PRP$ VBN CD RB MD RP VBG POS `` JJR WP WDT '' NNP FW",ctrl
"CD NNS . VBG CC DT NN VBD IN VBZ RB JJ , WP POS VBP PRP MD VB TO VBN EX RBR WDT JJS PRP$ WP$ WRB RP : NNP",ctrl
"NN , VBG CC VBD IN POS NNS . DT VBZ VBN RB JJ : VBP PRP WRB RBR TO VB MD PRP$ EX WP UH JJR WDT CD RP NNP `` '' )",ctrl
"PRP$ NN VBD VBN IN DT CD CC TO VB NNS PRP . RB VBP MD , EX VBZ WP : JJ JJR VBG WDT PDT UH RP WRB POS JJS RBS FW $",ctrl
"RB VBN IN NN DT WP VBD , CC VBZ JJ NNS PRP PRP$ . WP$ VBG MD VB TO CD WRB JJR ( ) : EX VBP RBR RP POS UH WDT NNP FW `` JJS NNPS #",ctrl
"WRB JJ NN CC NNS MD VB PRP$ VBZ DT IN TO JJR RB PRP VBG VBP . VBN , WDT VBD `` NNP CD : RBR RP POS '' ) JJS WP EX RBS",ctrl
"VBG DT JJ NNS IN . VBP VBZ PRP VBN NN VBD TO VB CC : RB PRP$ WP MD RP `` , '' NNP WRB POS CD WP$ RBS EX JJR WDT PDT",ctrl
"DT JJ NN VBZ IN NNS VBN TO VB CD CC EX VBP . RB , PRP FW PRP$ VBG POS WRB JJS : MD WP JJR ( ) VBD RBR NNP #",ctrl
"JJ NN POS IN DT RB NNP WP VBZ PRP$ JJS . WRB VBN VBG NNS PRP , TO CC VBD JJR : VBP CD WDT VB RBS MD '' EX WP$ RP PDT ( ) UH ``",ctrl
"VBN NNS , DT IN NN JJ WP VBD JJR WRB PRP PRP$ VBP . CC FW VBG TO VBZ MD CD RB VB RP `` '' JJS POS EX RBR : ( ) SYM NNP",ctrl
