,Title,Generation
168,Amazon natives hold on to tradition,"['Amazon natives hold on to tradition, and the world is a better place because of that. \n but now i\'m not so sure about anything anymore. \n chapter 2 : mogadorian war machine - day 4 \n "" you\'re going?! "" exclaims my brother in surprise as he comes out from behind his desk at school monday morning. he\'s been working hard for weeks to get into this position, which means it takes him almost every night to work through finals week. i don\'t know how much longer we can keep up with all these new developments. \n "" yeah, "" says brian, who has just finished an exam, too. "" are you coming or what? "" \n "" no way, man, "" replies sam, still wearing the same expression i\'ve seen whenever something bad happens between us. "" if you want me there when your dad gets home, then go ahead. i \'ll be here waiting for him. "" \n sam does have some serious family issues, especially since they were both killed by mogadorians during our last mission together. i wonder whether that was part of their training. probably. \n "" fine, but only one hour, okay? "" \n "" deal. "" \n sam heads back inside his room after dropping off his backpack. i take the opportunity to check around his house before heading outside. nothing seems amiss, though, other than he has two suitcases full of clothes in the garage and a few boxes piled high against the wall near the front door. \n i knock once on his bedroom window. \n he opens it without hesitation and lets me come in. i look over his shoulder, making certain nobody else is watching before turning toward sam again. \n "" hey, dude... thanks for helping me today. "" \n "" anytime. "" \n "" well, i need to talk to someone. "" \n "" sure thing, bro. let me grab my stuff. "" \n sam walks away while i head down the hall towards my parents\'study. they\'re sitting in front of the computer screen, talking quietly. mom looks worried ; she must think her son will break his neck trying to make conversation with them. \n "" hi guys, sorry i didn\'t call sooner. "" i sit next to mom on the couch and pull a chair closer to']"
169,Show animals and their proud handlers,"['Show animals and their proud handlers. \n "" what\'s the matter, darling? you\'re not used to this yet are ya \'! "" he said with a laugh as they entered the kitchen where his wife was sitting at the table eating her breakfast of scrambled eggs and toast. she looked up from her plate when she heard them enter but didn\'t stop chewing until she \'d finished the last bite. "" oh my goodness.... i\'m so sorry... it looks like we\'ve been busy today. i hope everything is all right for your first day here, dear. "" \n sidra smiled gratefully. she knew that rashid would be furious if anything happened to him because of her absence, especially since she had no idea how long he might have waited in london while she worked on her thesis project. "" yes, thank you very much, mrs. christoph. i \'ll take care of things here. just let me know if there has any problems or need of my help. "" she took off her coat and hung it up before heading back out into the living room. \n rashid watched her walk away, wondering why he felt such an odd sense of loss over seeing her go. perhaps it was simply that he wanted to see her again after two years. maybe it was something else entirely. he could never explain how he knew that. but it seemed more than likely that whatever it was, he needed to get rid of it quickly before it got worse. \n chapter 3 \n sidra walked down the hallway towards the conference rooms and tried desperately hard not to look around. she knew that everyone else had already left, which meant that she still had about half hour before dinner time. she wished she were able to talk to someone who understood what was going through her mind. unfortunately, there were only three people who would understand the situation she faced, including herself. she sighed heavily and pushed open one door. the smell hit her instantly and she immediately turned to hide behind another closed door. \n the scent made her stomach growl loudly and she almost laughed despite her fear that the noise might make the other woman feel better. "" good morning, ms. watson. can i help you find something? "" a deep voice asked. \n zarah glanced around nervously, trying to figure out exactly whom the man standing next to']"
170,Nineteen years under the rainbow,"['Nineteen years under the rainbow. "" \n she laughed, and he kissed her again before pulling away to look at his watch. it was nearly one in the morning. they had a few hours until dinner with their parents, but that didn\'t mean they could sleep. \n "" i\'m going to go get some rest now, then we \'ll talk more tomorrow night about what you\'re doing for your birthday next week... if you want me to come over? "" \n "" of course not! why would you even think such an idea is necessary when all i have planned is having sex with you right here on this couch? "" \n "" well, i do like being able to touch you, so maybe tonight will be different? "" \n "" oh yeah? are there any other things i should know? because i \'d love nothing better than to see how much you can take from my body. "" \n "" no worries. just tell me where you live, or i won\'t bother coming home. "" \n "" okay. let\'s meet up around seven - thirty. i\'ve got something special planned for us. "" \n * * * \n "" hey, babe, "" she said as soon as he walked through the door. \n "" hi yourself, baby girl. "" he pulled her into him tightly and held onto her tight. \n "" thanks for letting me stay over last weekend. i needed someone to hang out with. "" \n "" anytime. "" he brushed back her hair gently. \n "" so you were talking to my mom today? "" \n "" yep. i told them everything. "" \n "" good for you, man. "" \n "" i guess you need a little help getting ready for bed too, huh? "" \n "" yes, please. "" \n after grabbing two blankets off the floor and wrapping herself around him once more, aidan slipped down the stairs toward emma\'s room. the sound of music drifted downstairs, along with laughter and conversation. \n as he stepped inside the bedroom, he paused. the light streaming across the top half of the dresser caught his eye first. as he turned to walk further in, he saw emma lying face down on her stomach, snoring softly. he smiled and ran a finger underneath the sheet to check her pulse. satisfied']"
171,The Kurdish women fighting ISIS,"['The Kurdish women fighting ISIS. \n "" i don\'t know, but it\'s not a good idea to take any chances with them now that they\'re here in our territory. we need all of you on top and ready for anything at this point. if there are more than one or two who can help us, then let me tell everyone what happened. "" \n she nodded her head as tears welled up again in my eyes. the group gathered around us was silent while waiting for orders from their leader. i looked over at seth ; he had his arms crossed tightly across his chest and was watching the battle unfold intently. \n the other titans were still standing, their faces blank like statues. i could feel the tension building between each man as they watched the fight play out before them. it seemed like every immortal wanted something and every single person knew exactly where it would lead. \n "" we \'ll be fine, "" jupiter said confidently and turned back towards the entrance door leading into the castle. \n "" no! "" serena shouted after him. "" you ca nt leave without telling me first! "" \n seth stopped mid - step, turning slowly toward his sister. he stared down at her defiantly, daring her to defy him. i felt myself tense beside him, afraid of how much he might want to stay behind. \n "" why? so you can watch her die? because you think you have some control? you\'ve got nothing left to lose stella.... except your life. just go home and get better, "" seth growled through clenched teeth, stepping closer to serena until he stood toe to toe with her. \n "" don\'t talk about me like i\'m dead! "" she screamed angrily, raising both hands in front of herself defensively. "" i am alive! i will always live, even when death comes calling! "" \n "" yes, well, maybe you should consider yourself lucky then, since you won\'t see it coming, "" seth replied coldly. "" look, you may not realize this yet, but i \'ll never forgive you. but i swear by everything i hold dear that you will pay for this! "" \n chapter twenty four \n "" alright, enough of these games! "" tristan yelled suddenly and stomped forward, shoving past seth and pulling serena away from aliah']"
172,Girls behind bars tell their stories,"['Girls behind bars tell their stories. "" \n he was right, but i didn\'t want to admit it out loud. so instead of answering him and making a big deal about the fact that we were having sex in front of everyone at my house, i turned around on his lap, straddled his hips, and said, "" you\'re not going anywhere until you\'ve told me what\'s been bothering you for weeks now. "" \n chapter twenty - two \n when tristan finally answered my question with one word : "" fuck... "" \n i \'d never seen anyone look more shocked than tristan stone just then as he looked down into those beautiful blue eyes staring up at me from beneath thick black lashes. "" nina? are you okay? do you need something before dinner or after work? "" \n i shook myself back to reality and smiled brightly at him, hoping like hell this would be enough reason to keep our relationship platonic while we worked through all of these issues together. "" no, nothing. everything is fine. thank you again for your help today. "" \n he took off his jacket and hung it over my shoulder. taking hold of both sides of my face, he kissed me softly on each cheek. "" if there\'s anything else i can get you tonight, please let me know. "" \n as much as i wanted to ask why he hadn\'t asked me out yet, i knew i could trust him. even though my body still ached for his touch, i needed some time alone to think things through. "" thanks. maybe tomorrow night? "" \n he nodded and walked away without another glance back at us. my heart pounded against my chest as i waited outside for him to come home. i didn\'t have long to wait. \n * * * \n i stood by the door waiting impatiently for tristan to return, wondering how many minutes passed since i saw him last. i felt horrible leaving him like that, knowing he was hurting because of what happened between us earlier in the day. \n he came walking toward me carrying an armful of books, looking tired and worn out, which made sense considering he spent most nights working late hours at club x. he dropped them onto the couch next to me and sat down beside me. "" hey, babe. where have you been hiding yourself']"
173,Up close in the brutal world of a female fight club,"['Up close in the brutal world of a female fight club. \n "" i\'m sorry, but it\'s not going to happen again. you\'re mine now and no one else is getting near me or my girl ever again. do we understand each other? "" he asked her. she nodded, staring at him with wide eyes. there was nothing more for them to say. butch hadn\'t been able to get past his anger when cheryl left him. \n * * * * \n tiny stared down into eva\'s face as they stood on fort wills\'front lawn. the sun shone brightly overhead while the wind blew through their hair. she \'d given birth to lash and angel, who were both three years old. he held onto the side rail, watching them play together. angel looked so much like her mother that it made him ache inside. he did love tate. the woman was sweet and caring, yet there was something missing about her. lash was always around the kids, taking care of them. \n "" are you okay? "" murphy said, coming out from behind his wife. \n "" yes, baby. everything will be fine once this shit blows over. "" tiny took hold of her hand, leading her toward the house. \n "" what happened between us last night? why would you leave me alone? "" she stopped walking, looking back at him. \n glancing away, he shook his head. "" i\'ve got work to finish here. "" \n "" then let\'s go home before someone sees you leaving with your girlfriend. "" she tugged on his arm pulling him forward. he followed along with her, ignoring all thoughts except how f * * king beautiful she felt against him. \n "" she does have some baggage. i can handle it myself, "" he told her. \n "" if you want to talk to me, just ask. "" \n "" i \'ll tell you later. right now i need to see you. "" he turned off the main road heading towards town. \n she wrapped an arms round his neck, holding tight. "" thank god you came home. "" tears filled her blue - grey gaze. "" i thought i lost you forever. "" \n "" never, babe. i promise i won\'t come running after any man. "" he kissed her lips. "" i']"
174,Crawling in a 'polio-free' country,"['Crawling in a \'polio-free\' country. "" \n he smiled at me, his eyes twinkling with amusement and i knew that was the moment when my heart would burst out of my chest and fall to pieces on him. \n chapter twenty one : kiev \n it took us two days before we reached aviary island. as soon as they were able to transport our prisoners back home, matteo sent for liana and told her what had happened. she immediately flew over to borys maslen\'s palace where the prince lived. once there, vivienne went straight into action. \n while everyone else waited outside the gates of their residences, ashley helped sofia get dressed up in some clothes from her bedroom closet. derek stood guard behind them. i couldn\'t help but notice how much more attractive sofia looked than ever. even though she still wore the same dress from last night, she appeared less tired than usual. maybe this is why i fell so hard for her... because all these years later, i never noticed how beautiful she really was until now. \n "" you look like hell! "" yuri exclaimed as soon as claudia entered the room. \n i stared down at myself. i \'d been wearing only black since leaving the shade. "" yeah? well, thanks. "" i smirked. \n "" are those cuts healed enough? can you walk again yet? "" \n i nodded slowly, not trusting my voice. "" yes. "" \n he walked around me to inspect the gashes on both sides of my face. "" do you have any idea who did this to your cheek? "" he asked, running his fingers along each line. \n "" no. i\'m sure arron has done worse things. "" \n "" you\'re lucky you survived, then. if someone were going after you right now, i doubt it would\'ve taken long. i\'ve seen too many vampires go through this kind of pain, especially during an attack by hunters or other creatures such as hawks. "" he turned away from me. "" let\'s just hope borys doesn\'t find another way to take control of the world. "" \n i felt sick inside. he sounded exactly the type of person i wanted to avoid facing. i hated being compared to him. it made everything seem so insignificant. \n i glanced toward ben, wondering whether he might']"
175,Giving a face to Sudan's refugee crisis,"['Giving a face to Sudan\'s refugee crisis. \n "" i\'m not sure, but it looks like the same thing happened in europe and asia as here. there\'s no way we can find out what they\'re doing now or even if anything is happening at all. "" she paused for effect then continued : "" you know how people are when their minds go blank? well that happens with us too! this one time i was on my own during an earthquake... "" \n "" yeah, i remember that story, "" he said, nodding his head slowly. "" so... don\'t worry about me anymore. i \'ll be fine. just keep your eyes open. "" \n "" thanks again. i owe ya big - time, man! "" \n "" anytime! see you later. "" \n "" bye. "" \n "" hey, "" she called after him. "" if you need help finding any more information, call me right away! "" \n "" will do! have fun tonight! "" \n "" okay! good night! "" \n * * * \n chapter 4 \n the end of book two \n prologue \n i am back in new york city, standing outside a large glass building, looking up into its majestic facade. inside is a beautiful lobby filled with plush furniture, polished wood floors, marble columns and ornate paintings hanging from every available surface. the entire place smells faintly of fresh paint and expensive cologne. the air feels heavy and thick around me, making everything feel stuffy, almost suffocating. \n i turn and walk towards a small door near the front entrance where i hear voices coming through. i push it open cautiously, trying not to make noise, hoping to get some privacy before anyone sees who enters. \n a tall woman dressed impeccably in black stands behind her desk. she has long dark hair pulled tightly back, revealing a pair of piercing blue eyes. she smiles warmly when she notices me ; her smile fades quickly once she recognizes my appearance. \n "" oh, hello miss quinn, welcome home. "" she reaches over her shoulder to grab something off top of her computer screen. i recognize the name immediately. mrs. jenkins. "" please come in. "" \n she walks past me toward another set of double doors which lead down a hallway lined by portraits depicting different events. the walls are decorated']"
176,Feds open investigation after CNN reports,"['Feds open investigation after CNN reports that the man who killed his wife was a terrorist. \n "" i\'m sorry, but this isn\'t going to work for me anymore. it\'s time we all went our separate ways and started over again with some new friends from college. you can stay here if you want to or not, just do whatever suits your fancy, but don\'t come back until things are settled between us. "" he turned away as she stood up and walked out of the room. \n chapter twenty - one : \n wednesday morning at 10 am, alex sat in her office waiting for dr. hayes\'call. she had been working late into the night trying to figure out what to say about everything that happened last weekend when she heard someone knock on her door. \n "" hi there! how \'d it go? did they find anything interesting yet? "" \n alex looked down at herself as she answered him. "" well, no... nothing really. i think it might be better if you came by tomorrow afternoon instead of now. "" \n "" okay then, why does everyone keep asking questions like that? "" \n alex sighed. "" because my life has changed so much since friday evening. i\'ve lost myself. "" \n "" oh yeah, right, that sucks. let me know where you\'re staying tonight, and i \'ll pick you up around seven o\'clock. "" \n "" thanks, mr. edwards. have fun getting ready for school today. see ya later! "" \n alex hung up the phone before anyone could respond. \n * * * \n monday afternoon, alex found herself sitting alone behind her desk. she tried calling jason and got only voice mail. frustrated and angry, she decided to leave an email message. after reading through several pages of notes and messages, she finally gave up. she needed something else besides jason to distract her while she waited for dr. hayes to arrive. she pulled up facebook and searched for any updates regarding jason and their relationship. \n the first site listed were pictures taken during a photo shoot two years ago. the picture showed them standing together holding hands. the caption read, "" jason and christy married. "" the next article stated that they lived in san francisco. \n the following day, alex drove to the hospital to visit cathy. she noticed']"
177,Schools knew of trouble before student deaths,"['Schools knew of trouble before student deaths. \n "" i\'m sorry, but you\'re going to have a hard time getting out there without being noticed. it\'s the only way we can get in and out undetected. if they know who is coming or what happened here tonight... well, that will be our end game for sure. "" he said with an air of finality as he stood up from his chair. "" let me show you around town. "" \n * * * \n "" this place looks like something straight off some horror movie! "" amy exclaimed as she walked through the door into her room. she wasn\'t used to having people come over to see her house. they usually left at night when their parents were home so that would make them feel more comfortable about seeing each other. now though, she did not want anyone else intruding on her privacy. \n jason followed behind her, trying not to look too nervous. amy had been living alone since college ; most nights she stayed out all day long and slept until dawn. her father worked two jobs during the week, which meant he could barely afford to pay rent. however, her mother still managed to keep him employed by her side. \n "" yeah, pretty much everything is neat and tidy, except for my bed. "" amy commented. she looked down at the pile of clothes strewn across her floor. she picked one out and began picking things back together. "" i guess i \'ll just leave these where they are. "" \n "" no worries, honey. do whatever needs doing while your mom gets ready. "" \n amy smiled. her dad always made it clear how important her life really was. he never tried to change anything. \n "" okay then. thanks again for dinner, mr. crawford. i hope everything goes smoothly tomorrow. "" she turned toward the hallway. \n "" oh hey amy - wait up. i wanted to ask you something. why does your family live here? i mean i understand they\'ve lived here forever, but why are you staying in such different areas than everyone else? "" \n amy stopped walking and stared blankly ahead at nothing in particular. "" um.... because, mom and daddy moved away when i was little. "" \n jason felt a pang of sadness hit him as he heard her say those']"
178,The real story behind those Planned Parenthood videos,"['The real story behind those Planned Parenthood videos. \n "" i don\'t know, but it\'s a good thing we\'re here now. you \'ll see how much fun this is going to be when all of your friends are together again and they have their own lives instead of being stuck in some house with these two people who\'ve been through so many terrible things over the years that i\'m not sure if anything will ever change between them. "" she smiled at him as he took her hand into his. "" you should probably go home before the kids get up and start fighting again. there was an argument about which movie to watch tonight. i think both movies were pretty bad. "" \n "" thanks for coming by today, mom. i really appreciate everything you did yesterday. "" \n "" my pleasure. "" she gave him one last hug before heading out onto the porch where everyone else had already gathered for breakfast. \n the sun had just started its descent below the horizon as rafe helped brooke down from the car and then walked around to help her step off the curb. they \'d barely made it back inside before ryan came running toward them, his eyes wide and excited. \n "" what happened? did something happen on the beach? did someone hurt megan or lori? "" \n brooke could tell by his expression that even though he knew exactly why she wasn\'t telling anyone yet, ryan would never let any harm come to either of them. \n "" no, nothing like that. "" \n rafe shook hands with each man in turn while brooke tried to keep herself calm enough to stay focused on ryan. "" can you guys take care of her until i find out more about what has gone wrong? "" \n "" absolutely! "" ryan said immediately. "" i swear, you look amazing, mia. and i can\'t wait till tomorrow night to show you all. "" \n "" thank god! because after seeing this morning\'s news online - and knowing that the sullivans have been living happily ever afters for months - i feel almost sick to my stomach just thinking about it. "" \n ryan nodded, clearly happy to hear that he \'d finally gotten to share such wonderful information. "" me too. "" \n as soon as he left the room to head upstairs to shower and shave, brooke turned to rafe']"
179,Sources: Disabled work program mired in fraud,"['Sources: Disabled work program mired in fraud, and the internet. \n "" we\'ve got to find out who\'s behind all this! "" he said urgently. "" i\'m going back inside now - get your camera ready for me! "" \n with that he dashed into his office and began frantically searching through drawers until he found what he was looking for. as soon as he opened it up, a flash of light blinded him momentarily ; then everything went dark again. \n chapter thirty one \n the next morning at breakfast, jennifer sat across from her husband on their usual bench outside the restaurant where they had been dining when she \'d first arrived in town two days earlier. after getting dressed in jeans and an old t shirt, she \'d taken them both down to see if there were any more clues about the mysterious disappearance or whether anyone else might have seen anything suspicious. but no matter how hard she tried to look around the diner, nothing seemed familiar. instead of seeing people milling around outside or sitting by themselves, the place looked deserted. \n "" you know something? "" dave asked suddenly. \n jennifer turned toward him. "" what do you mean? "" \n "" i think someone is hiding here somewhere. like some kind of secret service agent. "" \n "" oh... yeah. "" \n "" didn\'t you notice anything strange last night? "" \n jennifer shook her head. "" not really. just my nerves. maybe i should go home. "" \n "" why would somebody hide out here? "" \n "" because... well... because i thought someone was watching us yesterday afternoon. "" \n "" so what are you saying? "" \n "" i don\'t know yet. "" \n "" maybe you\'re right. "" \n "" i am wrong, though. "" \n "" okay, let\'s take another walk. "" \n "" sure thing. "" \n dave took off running along the sidewalk, leaving jennifer alone to ponder the odd coincidence. perhaps it was simply paranoia, but he felt uneasy himself lately, especially since he could feel the eyes following them as they walked away from the hotel. he knew he should be worried about his wife being followed, but he also sensed that whatever trouble she may be having was far worse than his own. \n it occurred to him that he \'d never even heard of']"
180,"Athletes allege abuse, racism at U. of Illinois","['Athletes allege abuse, racism at U. of Illinois and the united states. \n "" i\'ve been reading up on it all, but there are some things that don\'t make sense to me. it\'s like they\'re trying to tell us something we can\'t understand. if you ask me, what is this\'new world order \'? "" he asked rhetorically as a group of students began talking amongst themselves about their theories of how such an idea could be possible in america. \n "" what does that mean exactly? "" one student said. \n "" well... let\'s see now, who would want to go back into slavery or whatever? "" another answered with a smile. \n "" so why not just take over our country? maybe then people will stop being slaves! "" someone else chimed in. \n "" no way man. we need more than that. the government has already taken control of everything around here. "" another replied confidently. \n "" yeah right. you think because everyone knows how much money goes toward education, that they can change anything that happens out there. "" another added sarcastically as his face turned red from anger. \n "" look guys, you know what i\'m saying - it won\'t work for anyone. besides, even if we took control of every nation, there might still have to come down time limit before elections. the constitution says there must always be exceptions, especially when you consider that most countries don\'t believe in any laws other than those which govern them, such as law enforcement agencies, prisons, military bases and police departments. the only thing stopping us from taking over was the fact that there may never really be enough federal income left to support all these companies. "" a young girl stated as she looked around nervously. \n "" i agree with your point. i think it should happen sooner rather than later anyway. "" someone else agreed. \n "" okay, so what kind of legislation did the governor issue today? "" a third voice spoke out. "" what does that say about our rights? "" \n "" it means we \'ll probably lose our jobs and get sued by the state. "" a fourth member of the crowd responded. \n "" oh my god, what happened last night? "" a woman cried out loudly. \n "" there were too many witnesses and the']"
181,Government says four cancer charities are shams,"['Government says four cancer charities are shams. "" \n i wasn\'t sure if he meant the group or me, but it did seem like a good idea to keep him talking about his research and my involvement in that project. so far there had been no mention of any other projects on our list. maybe they were just going along with whatever we wanted them to be doing? \n i nodded slowly as the man continued to talk. \n "" we\'re trying to get funding from all three groups for some kind of treatment program. one is called\'prevention.\'another has an experimental drug called\'antiretrovirals.\'we think this might help us find out more information about what\'s causing these diseases, especially since the disease appears to have originated here at st. vincent\'s hospital. unfortunately, none of those compounds can cure alzheimer\'s patients except by killing their immune systems, which means you \'ll need to take care not only to stop these attacks but also to prevent the deaths of your own family members and friends. we\'ve tried everything possible to save people who don\'t die, but the doctors ca nt even give us enough time to try. so now, here we sit, waiting for the end of the world to come. "" \n "" how long will it last? "" \n dr. peters looked up sharply. "" depends on whether or not someone comes back after the outbreak. "" \n i frowned. "" why would anyone want to kill everyone else? "" \n dr. peters shrugged. "" because, according to the cdc reports, people dying every day over the next few months could cause problems for society - particularly in general. but what happens when a person dies without warning? "" \n i thought back to the news report i \'d read earlier. "" oh yeah... well, sometimes people go through life being told they should live longer than others. sometimes they become suicidal. "" \n he smiled sadly. "" yes, but usually the symptoms start before the first victim gets sick. it takes years to figure things out. "" \n "" does this happen often? "" \n he shook his head. "" it seems normal for most cases, though it tends to occur around five times each year. "" \n "" wow! "" said nathan. "" that must really suck. "" \n dr. peters laughed']"
182,Hidden cameras show airport workers stealing from bags,"['Hidden cameras show airport workers stealing from bags of food. the plane is a black and white model, with tinted windows that are covered in glass so you can\'t see inside. \n "" i\'m going to be sick! oh my god... i\'m gon na throw up right here on this seat! "" she cries out as her stomach heaves violently. \n "" we\'re not done yet, baby girl. just relax. everything\'s fine now, okay? "" he says soothingly while stroking her back. \n "" no, it wo nt be okay if they find me like this. how could anyone know where i am? what kind of people would do something like this for money? "" tears stream down her face as he continues soothing her. \n "" shh.... there will come a time when your family can pay off their debts. let\'s go get some lunch before all hell breaks loose. "" he assures her. his words comfort her even though they sound hollow to him. \n chapter 12 : an unexpected visitor \n "" you have got to stop doing things like this. "" she yells at herself as she tries desperately to calm down. "" why did you make such a big deal about being able to take care of yourself? "" she asks herself over again. "" you\'ve never been anything but good to us. we were lucky to have you around. "" \n "" well, we \'ll always be grateful to you, sweetie. "" her mother replies softly. \n "" thanks mom, "" she whispers quietly as her mind drifts away into another world. \n * ~ * * * \n the next day dawns bright and sunny. the sun shines brightly through the window as beth wakes up feeling refreshed after sleeping most of the night. she looks across the room towards the bed that has her father lying beside her. "" dad? "" she calls out. \n "" yeah honey? "" her husband answers sleepily. \n "" i need to talk to you, please wake up. "" she pleads. \n "" alright sweetheart, i was asleep anyway. "" he responds groggily as he rolls onto his side facing her. \n "" i want to ask you one more question. "" she begins hesitantly. \n "" sure hon. "" he yawns as his eyes flutter open. \n "" who took those pictures? "" she']"
183,"Poisoned teens struggle to eat, walk","['Poisoned teens struggle to eat, walk and breathe. \n "" i\'m sorry about that... but it\'s not my fault you\'re in a coma! "" she said angrily as the doctor walked away from her bed. \n "" what? why wouldn\'t he tell me anything when we were together? "" \n "" well, because of your condition, and also because of all those things happening around us lately - "" \n "" like what? "" asked traiven with anger, while rubbing his head. \n anya looked at him sadly. "" there are so many people who don\'t know how they got here ; some say their parents died or something similar, others have been living on earth for years without any contact with anyone else. "" \n "" oh yeah? then where is everyone now? "" questioned shawn. \n "" well i guess they moved back home after being attacked by an army of demons. "" replied anya. \n "" wow, sounds tough. "" commented traiven. \n "" well, no one really knows exactly where they came from. all they can remember was that it had this strange smell to them, which made them want to stay here forever. "" added sally. \n "" hey guys... "" interrupted rukaryo, interrupting anya\'s thoughts. "" let\'s get going before someone gets hurt. "" \n rurik led the way out of the room, followed closely behind by benny and raven. \n once outside, the group began walking down a long corridor that ended up near another door. they entered into a large chamber filled with tables, chairs and other objects that appeared to be part of various crafts. there sat several soldiers sitting at the table, along with two more men and women. each man wore black uniforms with white stripes across the chest and arms. they stood tall and proud, wearing dark green pants, boots and coats. \n "" good evening gentlemen, welcome to vana. "" greeted ramose. "" please take seats. "" \n "" thank you sir. "" answered benny. \n ramose took off his coat and placed it next to him. "" these will help keep you warm during your journey. "" he explained. \n "" thanks. "" responded ben as he pulled out a small pouch from under his jacket pocket. he opened it and removed three silver coins.']"
184,It's not over: Veterans waiting months for appointments,"['It\'s not over: Veterans waiting months for appointments, and now they\'re ready to go. "" \n the man was a few inches taller than me but he had more muscle in his arms than i did. i could see that he \'d been working out. his skin looked like sun - kissed caramel ; there were dark circles under his eyes from lack of sleep. he also wore an expensive suit with gold buttons down one side of the jacket, as if this dress would have fit him better on any other day. he even had silver rings around both wrists and hands, just enough bling for a ring or two. \n "" you look very handsome today, mr. schuyler. may we sit? "" \n he nodded, then moved back so she could get past him into my office. \n nathaniel sat beside her at the desk. "" why don\'t you take your seat while micah takes yours? "" \n micah gave us all looks and said nothing, which made them laugh harder. jean - claude and asher exchanged glances. then i realized what their expressions meant and smiled. i knew exactly how they felt about each other, because mine was almost identical. i liked having someone who understood me without being able to explain things to anyone else. \n micah settled himself behind the chair where the woman\'s skirt met the floor. he put his hand lightly against hers and squeezed gently before letting go. when i turned toward him he seemed to be looking through the window, staring outside. his face was unreadable, except for those deep blue irises that glowed in the light. i wondered whether he thought about our night together tonight, and just wished it was still fresh in his mind. \n "" is something wrong? "" richard asked. \n "" no, everything\'s fine, "" i lied. \n "" are we going to talk about last time? "" claudia asked. \n "" yes, "" i answered. \n she frowned up at me. \n "" i\'m sorry if i offended you, anita, "" damian said. \n "" no offense taken, but we\'ve already discussed last week how much trouble you \'ll cause if you start talking about sex again. i think you should stop doing it. "" \n "" i wo nt say anything to ruin the mood, "" he promised. \n she glared at him, and he']"
185,IRS scam costing victims $15 million,"['IRS scam costing victims $15 million. "" \n i was surprised to hear that, but then again it\'s not like we had any other options. the only thing left for us now is a plan of action and a way out. \n chapter twenty - two : \n "" so what do you think? are they going to try something else on me or will this be over soon enough? "" i asked as we walked through the lobby toward my car. \n "" they might just wait until morning, if there isn\'t anything more to worry about before that happens. "" he said with no hint of fear in his voice. \n "" okay, let\'s get some sleep and hope everything goes well tomorrow night. hopefully by monday we \'ll have figured things all out. "" \n when we got back into our room, i started putting together an elaborate dinner for both of them. since most people would eat at home, i thought it best to make sure everything went smoothly so that nothing happened too quickly. i also wanted to give her time alone to prepare herself for whatever she needed to say. \n after making myself comfortable in bed, i closed my eyes and tried to fall asleep. instead, images from yesterday flashed across my mind. \n * ~ * ~ * \n it took several hours for candace to finally come downstairs and join me for breakfast. while waiting for her to finish eating, i told her how much fun we were having getting ready for tonight. "" hey, did anyone ever tell you that your hair looks great today? "" she smiled, still smiling. \n "" yeah, once or twice. you look beautiful ; you know that right? "" i kissed her forehead and looked down at where her hand rested against mine. \n "" thank you. "" \n "" anytime, baby girl. "" i leaned up and gave her another kiss on top of her head. "" oh! here comes daddy! "" she yelled out from behind me, causing me to jump slightly. \n "" hi dad, sorry i\'m late coming to see you, mom, but i really need to talk to you. can you meet me outside? "" \n "" sure sweetie, go ahead and take care of yourself. "" she turned around and headed towards the kitchen. \n candace came walking out and sat']"
186,School fundraising letters signed by fictitious boy,"['School fundraising letters signed by fictitious boy scouts, and the name of a small town newspaper. \n "" i\'m not sure what to think about this whole thing, but it\'s definitely something we need to do right away, so let me know if you change your mind or anything else. thanks for coming out here today. "" she kissed him on both cheeks before heading back into her office with an air that said\'go ahead and get started!\'\n as soon as he was alone in his room again, nick called up the internet search engine. there were several sites dedicated to local businesses offering free advertising services and some even offered donations to charity. when he clicked onto one site that had information regarding all kinds of things, he found himself staring at pictures of people who looked like they could be celebrities. \n "" wow, those are really good looking women, "" nick muttered aloud. he knew the picture from last night would have been taken just after dawn - probably around ten o\'clock, judging by how much time passed between the photo shoot and now. he didn\'t see any other photos ; the only ones in the article were of a woman wearing a long black dress with red lipstick. her hair hung down past her shoulders and her eyes sparkled as she smiled broadly at someone. she wore no jewelry except for a pair of silver hoop earrings that matched her necklace. \n nick scrolled through the rest of the articles until he came across a website titled\'facebook page\'where a group of young girls appeared to hang out together every day. their names seemed familiar, too, though he \'d never seen them before. \n he quickly typed the first two words : \n hi! my friends call me mandy. i\'ve got three more years left until graduation and am going off to college next year. i hope i can make it through the summer without getting sick. you \'ll find me online if you want to talk to anyone. \n he felt a smile creep over his face and shook his head slightly. mandy? seriously? he thought. why is everyone calling him mandy? it made sense, but still... \n nick closed the laptop and sat down heavily on the bed, shaking his head. he needed another drink. maybe he should try asking mandy out tomorrow instead of trying to convince her to come']"
